bus_id,route_id,timestamp,hour_of_day,day_of_week,minute_of_day,is_morning_rush,is_evening_rush,is_rush_hour,is_weekend,distance_to_next_stop_km,current_speed_kmh,speed_ratio,stop_sequence,scheduled_travel_time_min,bearing,route_id_encoded,delay_next_stop_minutes
BUS-004,CAMPUS-EXPRESS,2026-08-24T16:17:15Z,10.0,0.0,617.0,1.0,0.0,1.0,0.0,1.08,7.6,0.304,1.0,3.9,242.9,5.0,11
BUS-002,ROUTE-NORTH,2026-08-03T14:13:14Z,8.0,0.0,493.0,1.0,0.0,1.0,0.0,2.32,18.3,0.732,1.0,4.9,71.4,1.0,9
BUS-015,ROUTE-2,2026-08-09T12:51:55Z,6.0,6.0,411.0,0.0,0.0,0.0,1.0,0.13,29.1,1.164,10.0,2.0,250.6,2.0,-1
BUS-004,ROUTE-3,2026-08-13T14:06:22Z,8.0,3.0,486.0,1.0,0.0,1.0,0.0,3.83,13.0,0.52,2.0,10.4,289.8,3.0,11
BUS-003,ROUTE-NORTH,2026-08-10T17:53:40Z,11.0,0.0,713.0,0.0,0.0,0.0,0.0,2.82,28.9,1.156,9.0,8.6,207.3,1.0,0
BUS-008,ROUTE-1,2026-08-03T14:54:14Z,8.0,0.0,534.0,1.0,0.0,1.0,0.0,3.91,8.4,0.336,5.0,9.9,162.8,1.0,23
BUS-007,ROUTE-3,2026-08-23T18:59:43Z,12.0,6.0,779.0,0.0,0.0,0.0,1.0,2.95,28.9,1.156,5.0,8.2,61.4,3.0,0
BUS-009,ROUTE-NORTH,2026-08-08T19:43:20Z,13.0,5.0,823.0,0.0,0.0,0.0,1.0,3.81,29.3,1.172,9.0,10.9,82.2,1.0,-1
BUS-003,ROUTE-3,2026-08-30T20:36:56Z,14.0,6.0,876.0,0.0,0.0,0.0,1.0,3.26,29.0,1.16,4.0,7.8,179.2,3.0,2
BUS-009,ROUTE-2,2026-08-08T13:47:35Z,7.0,5.0,467.0,1.0,0.0,1.0,1.0,2.47,29.0,1.16,3.0,7.4,153.8,2.0,1
BUS-017,ROUTE-2,2026-08-03T14:48:03Z,8.0,0.0,528.0,1.0,0.0,1.0,0.0,3.89,9.9,0.396,8.0,9.2,57.4,2.0,23
BUS-013,ROUTE-NORTH,2026-08-15T23:33:16Z,17.0,5.0,1053.0,0.0,1.0,1.0,1.0,4.37,36.1,1.444,10.0,12.5,4.1,1.0,-2
BUS-009,ROUTE-SOUTH,2026-08-04T15:18:27Z,9.0,1.0,558.0,1.0,0.0,1.0,0.0,0.8,23.1,0.924,6.0,2.0,259.2,2.0,10
BUS-017,ROUTE-2,2026-08-28T14:40:19Z,8.0,4.0,520.0,1.0,0.0,1.0,0.0,3.8,15.0,0.6,2.0,10.0,71.4,2.0,9
BUS-001,ROUTE-SOUTH,2026-08-11T13:31:01Z,7.0,1.0,451.0,1.0,0.0,1.0,0.0,0.59,8.0,0.32,10.0,2.0,353.7,2.0,9
BUS-019,ROUTE-2,2026-08-03T15:46:31Z,9.0,0.0,586.0,1.0,0.0,1.0,0.0,3.69,10.2,0.408,2.0,11.2,191.2,2.0,15
BUS-006,ROUTE-SOUTH,2026-08-17T15:55:38Z,9.0,0.0,595.0,1.0,0.0,1.0,0.0,1.96,7.5,0.3,5.0,4.5,193.6,2.0,18
BUS-013,ROUTE-3,2026-08-15T22:57:33Z,16.0,5.0,1017.0,0.0,0.0,0.0,1.0,2.09,28.6,1.144,6.0,5.0,23.0,3.0,1
BUS-008,ROUTE-SOUTH,2026-08-03T12:45:40Z,6.0,0.0,405.0,0.0,0.0,0.0,0.0,0.36,27.5,1.1,1.0,2.0,11.3,2.0,0
BUS-008,ROUTE-SOUTH,2026-08-22T22:31:13Z,16.0,5.0,991.0,0.0,0.0,0.0,1.0,2.47,27.8,1.112,5.0,7.3,316.8,2.0,-1
BUS-014,ROUTE-NORTH,2026-08-04T23:06:42Z,17.0,1.0,1026.0,0.0,1.0,1.0,0.0,2.0,6.0,0.24,4.0,5.3,167.7,1.0,23
BUS-004,CAMPUS-EXPRESS,2026-08-13T13:46:21Z,7.0,3.0,466.0,1.0,0.0,1.0,0.0,3.62,7.6,0.304,1.0,8.4,68.8,5.0,23
BUS-009,ROUTE-2,2026-08-08T22:55:59Z,16.0,5.0,1015.0,0.0,0.0,0.0,1.0,0.43,36.2,1.448,8.0,2.5,307.3,2.0,1
BUS-001,ROUTE-SOUTH,2026-08-30T18:48:54Z,12.0,6.0,768.0,0.0,0.0,0.0,1.0,1.14,33.8,1.352,2.0,3.1,172.8,2.0,0
BUS-013,ROUTE-2,2026-08-13T22:16:59Z,16.0,3.0,976.0,0.0,0.0,0.0,0.0,3.55,33.0,1.32,1.0,9.2,151.9,2.0,-2
BUS-016,ROUTE-SOUTH,2026-08-07T19:18:13Z,13.0,4.0,798.0,0.0,0.0,0.0,0.0,4.36,8.3,0.332,3.0,11.6,194.6,2.0,22
BUS-002,ROUTE-1,2026-08-16T12:32:58Z,6.0,6.0,392.0,0.0,0.0,0.0,1.0,3.85,24.9,0.996,10.0,9.1,344.9,1.0,3
BUS-003,ROUTE-SOUTH,2026-08-13T19:07:56Z,13.0,3.0,787.0,0.0,0.0,0.0,0.0,2.61,22.7,0.908,4.0,7.3,14.3,2.0,1
BUS-019,CAMPUS-EXPRESS,2026-08-17T17:20:59Z,11.0,0.0,680.0,0.0,0.0,0.0,0.0,1.25,19.3,0.772,10.0,4.1,112.8,5.0,4
BUS-010,ROUTE-2,2026-08-11T13:59:48Z,7.0,1.0,479.0,1.0,0.0,1.0,0.0,4.22,8.8,0.352,8.0,9.6,223.0,2.0,25
BUS-007,ROUTE-SOUTH,2026-08-10T00:08:59Z,18.0,0.0,1088.0,0.0,1.0,1.0,0.0,1.64,14.0,0.56,9.0,3.3,87.7,2.0,12
BUS-010,ROUTE-SOUTH,2026-08-26T23:41:33Z,17.0,2.0,1061.0,0.0,1.0,1.0,0.0,0.13,9.9,0.396,10.0,2.0,107.5,2.0,10
BUS-009,ROUTE-2,2026-08-29T23:06:47Z,17.0,5.0,1026.0,0.0,1.0,1.0,1.0,2.53,38.9,1.556,2.0,6.1,217.1,2.0,-1
BUS-009,CAMPUS-EXPRESS,2026-08-16T23:16:57Z,17.0,6.0,1036.0,0.0,1.0,1.0,1.0,4.1,28.5,1.14,9.0,9.4,227.7,5.0,1
BUS-005,ROUTE-3,2026-08-06T14:47:28Z,8.0,3.0,527.0,1.0,0.0,1.0,0.0,2.53,17.1,0.684,5.0,6.6,3.5,3.0,7
BUS-018,ROUTE-2,2026-08-27T23:23:37Z,17.0,3.0,1043.0,0.0,1.0,1.0,0.0,2.53,12.0,0.48,1.0,6.6,15.0,2.0,10
BUS-012,ROUTE-1,2026-08-22T17:15:42Z,11.0,5.0,675.0,0.0,0.0,0.0,1.0,0.55,30.0,1.2,4.0,2.7,317.4,1.0,-1
BUS-008,ROUTE-2,2026-08-26T16:51:11Z,10.0,2.0,651.0,1.0,0.0,1.0,0.0,3.98,11.4,0.456,3.0,9.0,264.4,2.0,17
BUS-008,CAMPUS-EXPRESS,2026-08-06T19:50:44Z,13.0,3.0,830.0,0.0,0.0,0.0,0.0,0.58,18.3,0.732,5.0,3.1,308.2,5.0,2
BUS-012,ROUTE-NORTH,2026-08-28T01:50:55Z,19.0,4.0,1190.0,0.0,1.0,1.0,0.0,1.1,4.3,0.172,5.0,2.0,69.3,1.0,19
BUS-012,ROUTE-3,2026-08-13T15:43:53Z,9.0,3.0,583.0,1.0,0.0,1.0,0.0,2.46,12.4,0.496,9.0,8.0,41.4,3.0,12
BUS-002,ROUTE-3,2026-08-20T19:27:22Z,13.0,3.0,807.0,0.0,0.0,0.0,0.0,3.31,22.8,0.912,2.0,8.2,217.6,3.0,2
BUS-019,ROUTE-NORTH,2026-08-09T14:02:45Z,8.0,6.0,482.0,1.0,0.0,1.0,1.0,2.02,33.7,1.348,4.0,5.6,289.5,1.0,0
BUS-007,CAMPUS-EXPRESS,2026-08-14T15:04:42Z,9.0,4.0,544.0,1.0,0.0,1.0,0.0,4.15,16.6,0.664,6.0,11.2,238.2,5.0,11
